dataset_id,method,metric,K,score
20newsgroups,tsne,ami,2,0.9867484835693153
20newsgroups,tsne,ami,2,0.9480368314434897
20newsgroups,tsne,ami,2,0.9772699188956522
20newsgroups,tsne,ami,2,0.7258331077342134
20newsgroups,tsne,ami,2,0.736788523959506
20newsgroups,tsne,ami,2,0.9740823385046681
20newsgroups,tsne,ami,2,0.9138169569850798
20newsgroups,tsne,ami,2,0.9095750950054071
20newsgroups,tsne,ami,2,0.7764344394662799
20newsgroups,tsne,ami,2,0.7886734035803225
20newsgroups,tsne,ami,2,0.9892593787327275
20newsgroups,tsne,ami,2,0.9860361870442245
20newsgroups,tsne,ami,2,0.9860282816474609
20newsgroups,tsne,ami,2,0.9835180900420701
20newsgroups,tsne,ami,2,0.751175705839936
20newsgroups,tsne,ami,2,0.9978482032249563
20newsgroups,tsne,ami,2,0.9915548351949447
